0,성수2가1동,FILE,Dhino,2023-11-06 15:45:06.917931,성수2가1동에 대한 설명,"[성수2가1동, '지역', '수도권']"
1,성수2가3동,FILE,Admin,2023-11-06 15:45:06.917931,성수2가3동에 대한 설명,"[성수2가3동, '지역', '수도권']"
2,왕십리도선동,FILE,SY,2023-11-06 15:45:06.917931,왕십리도선동에 대한 설명,"[왕십리도선동, '지역', '수도권']"
3,길음1동,FILE,YS,2023-11-06 15:45:06.917931,길음1동에 대한 설명,"[길음1동, '지역', '수도권']"
4,삼선동,FILE,JH,2023-11-06 15:45:06.917931,삼선동에 대한 설명,"[삼선동, '지역', '수도권']"
5,월곡1동,FILE,JY,2023-11-06 15:45:06.917931,월곡1동에 대한 설명,"[월곡1동, '지역', '수도권']"
6,정릉1동,FILE,SY,2023-11-06 15:45:06.917931,정릉1동에 대한 설명,"[정릉1동, '지역', '수도권']"
7,정릉2동,FILE,Santiago,2023-11-06 15:45:06.917931,정릉2동에 대한 설명,"[정릉2동, '지역', '수도권']"
8,가락1동,FILE,YS,2023-11-06 15:45:06.917931,가락1동에 대한 설명,"[가락1동, '지역', '수도권']"
9,마천2동,FILE,Royd,2023-11-06 15:45:06.917931,마천2동에 대한 설명,"[마천2동, '지역', '수도권']"
10,문정1동,FILE,Santiago,2023-11-06 15:45:06.917931,문정1동에 대한 설명,"[문정1동, '지역', '수도권']"
11,석촌동,FILE,Gasfard,2023-11-06 15:45:06.917931,석촌동에 대한 설명,"[석촌동, '지역', '수도권']"
12,위례동,FILE,Santiago,2023-11-06 15:45:06.917931,위례동에 대한 설명,"[위례동, '지역', '수도권']"
13,잠실6동,FILE,YS,2023-11-06 15:45:06.917931,잠실6동에 대한 설명,"[잠실6동, '지역', '수도권']"
14,잠실7동,FILE,JH,2023-11-06 15:45:06.917931,잠실7동에 대한 설명,"[잠실7동, '지역', '수도권']"
15,매탄3동,FILE,YS,2023-11-06 15:45:06.917931,매탄3동에 대한 설명,"[매탄3동, '지역', '수도권']"
